CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,APPROVE
1298,FC IPALOGAMA,"Ranajayapura, Ipalogama.",8.0720588,80.5480118,Cargills,True
1412,FC PALMADULLA,"No.115, Rathnapura road, Pelmadulla.",6.8791262,80.2429977,Cargills,True
1419,FC JAWATTA,"No 60, Jawatta Road, Thimbirigasyaya.",6.8965079,79.8668162,Cargills,True
1411,FC DUPLICATION,"No. 450 E, R A De Mel Mawatha, Colombo 03",6.8960251,79.8568022,Cargills,True
1422,FC MANIPPAY,"No. 120 Jaffna Road, Manipay.",9.694305,80.0155851,Cargills,True
1432,FC KANNATHTHIDI,"No. 54, Kannathiddy Road, Jaffna",9.6710661,80.0132714,Cargills,True
1425,FC AKKARAIPATHTHU,"No.143/B 1, Kalmunai road, Akkaraipattru.",7.2268544,81.8505496,Cargills,True
1424,FC KALMUNEI,No. 1034/1 Kalmunai 14,7.4143831,81.8306334,Cargills,True
1433,FC NORRIS CANAL,"No. 25,   Norris Canal Road , Colombo 10",6.9210399,79.8659874,Cargills,True
1323,EX TRILLIUM RESIDENCE,"No. 153, Elvitigala Mawatha, Colombo 08",6.8932435,79.8769808,Cargills,True
1428,FC WARIYAPOLA,"No. 107, Kurunegala Road, Wariyapola.",7.7296916,80.2426915,Cargills,False
1321,EX KURUWITA,"No 96, Main Road, Kuruwita,",6.8218403,80.3615079,Cargills,True
1322,EX RUWANWELLA,"No.114, Main Street, Ruwanwella.",7.0839701,80.2724581,Cargills,True
1319,EX DIGANA,"Methsiripaya, New Town, Rajawella, Digana.",7.2963549,80.7301035,Cargills,True
1434,FC KADURUWELLA,"No. 896, Batticaloa Road, Kaduruwela",7.9286977,81.0340589,Cargills,True
1431,FC KILINOCHCHI,"No. 7-10 Anthoneypillai Building, Karadibokku, Kilinochchi.",9.3802886,80.3769999,Cargills,True
1327,EX SUWARAPOLA,"No. 428, Moratuwa Rd, Suwarapola, Piliyandala.",6.7978742,79.9178709,Cargills,True
1326,EX KOTIYAKUBURA,"No. 146, Ruwanwella Road, Kotiyakumbura.",7.1541811,80.2268267,Cargills,True
1420,FC MANCHANTHODUWAI,"No. 488 New Kalmunai Road, Manchanthoduwaii",7.7212716,81.7035739,Cargills,True
1435,FC WELIMADA,"No. 11 Boralanda Road, Welimada",6.8941143,80.8703383,Cargills,True
1429,FC BATTICALOA 02,"No.03, Gnanasooriyam Square, Trinco Road, Batticaloa.",7.7166032,81.6988923,Cargills,True
1331,EX BENTOTA,"No. 118, Pahurumulla, Galle Road, Bentota",6.4255312,79.997709,Cargills,True
1430,FC GALEWELA,"No. 210, Kalawewa Junction, Galewala",7.7597527,80.5709748,Cargills,True
1443,FC PUTTALUM,"No. 97B, Kurunagala Road, Puttalam.",7.3595985,80.3066891,Cargills,False
1439,FC POTHUVIL,"Kaleej Front Buildingâ€, Main Street, Pothuvil.",6.8752706,81.8306334,Cargills,True
1446,FC WARD PLACE,"No. 48, Ward Place, Colombo-07",6.9159834,79.8712711,Cargills,True
1448,FC ERAVUR,"No. 42,44, Main street, Eravur",7.7768972,81.6042028,Cargills,True
1341,EX MELSIRIPURA,"Cargills Food City Express, Dambulla Road , Melsiripura",7.6437182,80.5098697,Cargills,True
1342,EX NELLIYADI,"No.163, Jaffna Road, Nelliyady.",9.7980091,80.1779516,Cargills,False
1453,FC SAMANTHURAI,"No. 32/2, Ampara Road,Viliniyady Junction,Sammanthurai.",7.3574841,81.7951054,Cargills,True
1343,EX BELIATTA,"No. 52, Tangalle Road, Beliatta",5.9616998,80.6762828,Cargills,False
1457,FC THISSAMAHARAMA,"No. 142, Hambantota Road, Thissamaharama",6.1183591,81.0697335,Cargills,False
1339,EX MIDDENIYA,"Liyanage Building, Weeraketiya Road, Middeniya.",6.2456851,80.7655493,Cargills,True
1335,EX GALGAMUWA,"No. 37, Anuradhapura Road, Galgamuwa",8.0008752,80.2712436,Cargills,True
1338,EX MALWANA,"No.52/10/A Main Street, Malwana",6.947975,80.0145596,Cargills,True
1455,FC CHUNNAKAM,"No. 91, K. K. S. Road, Chunnakam.",9.7396885,80.0249328,Cargills,True
1350,EX MATALE ROSE ST,"No. 1/15, Rose Street,Matale.",7.4709888,80.623498,Cargills,True
1324,EX ALAWWA,"No. 151, Giriulla Road,Alawwa.",7.2467402,80.1290871,Cargills,True
1352,EX SOUTHERN HIGHWAY A,"Cargills Food City Express A ,Canowin Arcade ,Welipenna Rest area.",6.4683752,80.0795258,Cargills,True
1353,EX SOUTHERN HIGHWAY B,"Cargills Food City Express B,Canowin Arcade,Welipenna Rest area.",6.4683752,80.0795258,Cargills,True
1464,FC PALLEKELE,"No. 396, Digana Road, Pallekele",7.294184,80.7380716,Cargills,True
1155,FC AMBALANTHOTA,"No 129, Jayantha Building, Tangalle Road, Ambalantota.",6.1258545,81.110808,Cargills,True
1444,FC GALLE 02,"No. 10/8, Wakwella Road, Galle",6.0592101,80.2035612,Cargills,True
1349,EX KARANDENIYA,"No.343, MAHAHENDHANDA, KARANDENIYA",6.2683217,80.0898085,Cargills,True
1460,FC KATUGASTOTA2,"No. 452, Katugastota road, kandy",7.3140482,80.6320582,Cargills,True
1355,EX ERIYAGAMA,"No.180, Colombo road, Eiryagama.",6.9077747,80.0735071,Cargills,False
1466,FC AMBALANGODA2,"No. 37, New Road, Ambalangoda.",6.2441521,80.0590804,Cargills,True
1364,EX DEANS ROAD,"No. 153, Deans Road,Colombo 10",6.9221167,79.8645627,Cargills,True
1375,EX BUTTALA,"No. 36, Monaragala Road,Buttala.",6.8949078,81.256118,Cargills,False
1459,FC AKURESSA,"No.83 Matara Road,Akuressa",5.9682934,80.3722812,Cargills,True
1467,FC GATAMBE,"No.496, Gatambe, Peradeniya.",7.271285,80.5979973,Cargills,True
1379,EX GINIGATHHENA,"No.120/1 ,Nawalapitiya Road,Ginigathhena",7.104633,80.5587562,Cargills,True
1357,EX AMPITIYA,"No. 63 Kandy Road,Ampitiya.",7.2922664,80.6320435,Cargills,True
1469,FC WELIGAMA,"No. 454,Old Galle Road,Weligama.",5.9773782,80.4288487,Cargills,True
1370,EX HIKKADUWA,"No. 162 Galle Road,Hikkaduwa",6.1431515,80.0996329,Cargills,True
1372,EX DERANIYAGALA,"No. 58, Dehiowita Road,Deraniyagala",6.9349198,80.3380213,Cargills,True
1366,EX HABARADUWA,"Dassana Building,Galle Road,Habaraduwa.",6.0162218,80.2488766,Cargills,True
1381,EX HABARANA,"No. 72,Trincomalee  Road,Habarana.",8.0322147,80.7519272,Cargills,False
1371,EX WATTEGAMA,"No. 31, Matale Road, Wattegama",7.3733183,80.6179237,Cargills,True
1148,FC JAFFNA,"No.420, Hospital Road,Jaffna.",9.6674379,80.0086118,Cargills,True
1471,FC COTA ROAD,"No. 260, N.M Perera Mawatha, Cota Road, Colombo 08",6.913648,79.8827858,Cargills,True
1377,EX IBBAGAMUWA,"No. 5, Dambulla Road, Ibbagamuwa.",7.5527812,80.4533202,Cargills,False
1470,FC WELLAWAYA,"No. 32 Hambanthota Road,Wellawaya.",6.7377356,81.1030573,Cargills,False
1368,EX GODAKAWELA,"Main Street, Godakawela.",6.504906,80.6521139,Cargills,True
1383,EX MADAWACHCHIYA,"No. 102, Jaffna Road,Medawachchiya.",8.54356,80.4907385,Cargills,False
1360,EX GELIOYA,"No,35/D, Peradeniya Road,Gelioya.",7.2816136,80.6209311,Cargills,True
1386,EX RAMBUKKANA,"No 57, Mawanella Road,Rambukkana.",7.3300102,80.4111999,Cargills,True
1385,EX DENIYAYA,No. 04 Pallegama Road Deniyaya.,6.3159694,80.5171662,Cargills,True
1475,FC MATHUGAMA,"No. 93, Kalutara Road,Mathugama",6.5241762,80.0862699,Cargills,True
1387,EX KATUGODA,"No. 1/389, Matara Road,Katugoda, Galle",6.0349155,80.2397989,Cargills,True
1484,FC MARINE CITY,"No 46, Station Road,Dehiwala.",6.8510046,79.8640998,Cargills,True
1481,FC MATALE2,"No. 666,Trincomalee street,Matale",7.2978569,80.637207,Cargills,True
1394,EX GALAGEDARA,"No. 200/C Hospital Junction, Galagedara.",7.3699683,80.5327324,Cargills,True
1393,EX MULLAITTIVE,"No 197, P.W.D.Road , Mullathiv",7.873054,80.771797,Cargills,False
1717,EX POOJAPITIYA,"No 6/1/C, Owissa Road, Poojapitiya.",7.3748665,80.6064576,Cargills,True
1726,EX ANAMADUWA,"No 106, Puttalama Road, Anamaduwa.",7.8776471,80.0108891,Cargills,True
1727,EX MAGGONA,"No. 396/5, Galle Road, Maggona",6.5094589,79.9819466,Cargills,True
1728,EX ASCON RESIDENCE,"No. 608-1/35, Dr. Danister de Silva Mawatha, Dematagoda.",6.9332601,79.8781817,Cargills,True
1724,EX NELUWA,"No. 10, Sawijaya Building, Dellawa Road, Galle.",6.3669453,80.4002941,Cargills,True
1490,FC NARAMMALA,"No. 161, Negombo Road,Narammala.",7.4270605,80.2137994,Cargills,True
1718,EX AHANGAMA,"No.55/A,Galle Road, Piyadigama, Ahangama.",5.9739747,80.3621595,Cargills,False
1735,EX MALKADUWAWA,"FOOD CITY  EXPRESS â€“MALKADUWAWA,Molawatta, Malkaduwawa,Kurunegala.",7.4740428,80.3421984,Cargills,True
1739,EX MAKULUDUWA,"No 16 B,Makuluduwa,Piliyandala.",6.8140823,79.9346603,Cargills,True
1736,EX KATARAGAMA,"No 53/1/1/2, Sella Road, Kataragama.",6.4247114,81.3094953,Cargills,True
1741,EX MANNAR,"No Road 01 ,Pallimulei Mannar",8.9809743,79.9044149,Cargills,True
1738,EX KALMUNAI,"Cargills Food City, Saindhamaruthu, Kalmunai",7.3930492,81.8360977,Cargills,True
1743,EX KEKIRAWA,"No 15, Malawa Village,Central Road, Kekirawa",8.042103,80.593833,Cargills,True
1745,EX RAHULA JUNCTION,"No. 39,Perera MW,Buthgamuwa Rd,Rajagiriya",6.9097039,79.9011531,Cargills,True
1746,EX MALIGAWATTE2,"No.227, Saddharma Mawatha, Maligawatte, Colombo 10",6.9372716,79.8717512,Cargills,True
1749,EX ALADENIYA,"No. 418/A, Kurunegala Road,Aladeniya,Werallagama â€“ Kandy.",7.330693,80.5688428,Cargills,True
