ADDRESS,BRAND,CODE,DISTRICT,LATITUDE,LOCATION,LONGITUDE
"54 /1 , Centre  Road, Mattakkuliya .",Cargills,1137,Colombo,6.9716722,FC MUTUWAL,79.8786833
"762, Galle Rd. Colombo 4",Cargills,1308,Colombo,6.8948227,EX BAMBALAPITIYA,79.8547493
"157 , Old Road , Balangoda .",Cargills,1139,Ratnapura,6.6478307,FC BALANGODA,80.7002674
"585 , Maradana  Road , Maradana .",Cargills,1145,Colombo,6.9240228,FC MARADANA,79.8686059
"18 , Dharmadutha Road, Badulla .",Cargills,1125,Badulla,6.9880291,FC BADULLA,81.0599529
"137, Kandy Road , Vauniya .",Cargills,1146,Vavuniya,8.7497702,FC VAVUNIYA,80.4965416
"178, Colombo Road , Pilimathalawa.",Cargills,1157,Kandy,7.265568,FC PILIMATALAWA,80.5558208
"643, Anuradhapura Road,  Dambulla",Cargills,1158,Matale,7.874217,FC DAMBULLA,80.6511287
"52, Mahawela Road , Dickwella.",Cargills,1153,Matara,5.9716762,FC DICKWELLA,80.6951041
"281, Matale Road , Akurana.",Cargills,1159,Kandy,7.3693372,FC AKURANA,80.6173431
"Thissa Road,  Hambanthota.",Cargills,1150,Hambantota,6.1283566,FC HAMBANTOTA,81.1258669
"171, Dimbulla Road  ,  Hatton.",Cargills,1164,Nuwara Eliya,6.8927975,FC HATTON,80.5972816
"Bamunupola Watta,  Kundasale.",Cargills,1170,Kandy,7.2802929,FC KUNDASALE,80.6740597
"No.4,Mahawela Rd,  Tangalle.",Cargills,1169,Hambantota,6.0257603,FC TANGALLE,80.758582
"Namal Traders, Karapitiya.",Cargills,1187,Galle,6.0705817,FC KARAPITIYA,80.2251603
"No.44, Main Street , Eheliyagoda",Cargills,1186,Ratnapura,6.8485638,FC EHELIYAGODA,80.26001
"No.8/8, Nawalapitiya Road, Gampola.",Cargills,1188,Kandy,7.0558093,FC GAMPOLA,80.5345494
Linganagar Service station (MPCS),Cargills,1316,Trincomalee,8.5768576,EX TRINCOMALEE,81.2098826
"No.22/C ,Kandy Road   Mawanella.",Cargills,1199,Kegalle,7.2521971,FC MAWANELLA,80.4493629
"No.190, Thirugnanasampanthan Street, Trincomalee.",Cargills,1162,Trincomalee,8.5873638,FC TRINCOMALEE,81.2152121
"No. 183 , Hettipola Road , Kuliyapitiya",Cargills,1278,Kurunegala,7.472876,FC KULIYAPITIYA,80.0443989
"No. 51 , Panadura Road , Bandaragama .",Cargills,1279,Ratnapura,6.6993724,FC BANDARAGAMA,80.379375
"No. 33, Kuliyapitiya Road,  Pannala.",Cargills,1281,Kurunegala,7.3323183,FC PANNALA,80.0278438
"No. 67, St. Anthonys Street,  Batticaloa",Cargills,1288,Batticaloa,7.7141071,FC BATTICALOA,81.6961912
"No. 321/3,  Main Street,  Dhargatown",Cargills,1286,Kalutara,6.4447452,FC DHARGA TOWN,80.0168602
