CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE
1427,FC ELAKANDA,"No. 132 Canal Road, Elakanda",7.025844,79.865896
1429,FC BATTICALOA 02,"No.03, Gnanasooriyam Square, Trinco Road, Batticaloa.",7.7102,81.6924
1331,EX BENTOTA,"No. 118, Pahurumulla, Galle Road, Bentota",6.4254,79.9948
1333,EX MORATUWELLA,"No. 487, new Galle Road, Motuwella",6.770839,79.883239
1430,FC GALEWELA,"No. 210, Kalawewa Junction, Galewala",7.7592885,80.5684242
1443,FC PUTTALUM,"No. 97B, Kurunagala Road, Puttalam.",8.0301856,79.8286583
1439,FC POTHUVIL,"Kaleej Front Building”, Main Street, Pothuvil.",7.831524,81.552949
1446,FC WARD PLACE,"No. 48, Ward Place, Colombo-07",6.9162548,79.8699029
1334,EX PASYALA,"No. 174 2/4, Kandy Road, Pasyala",7.155695,80.1112398
1448,FC ERAVUR,"No. 42,44, Main street, Eravur",7.7782,81.6038
1442,FC MARAWILA,"No. 65, Chilaw Road, Marawila",8.4919374,79.91959052
1337,EX KANDANA,"No. 76 Station Road,Kandana",7.053165,79.9193674
1341,EX MELSIRIPURA,"Cargills Food City Express, Dambulla Road , Melsiripura",7.639175,80.5066115
1340,EX POLGAHAWELA,"No.23, Kurunagala Road, Polgahawela.",7.3352583,80.3002463
1325,EX KIRIDIWELLA,"No.111, Radawana Road, Kirindiwela.",7.0417,80.1282
1342,EX NELLIYADI,"No.163, Jaffna Road, Nelliyady.",9.7992119,80.1997538
1332,FC MATTEGODA,"No. 146/83, Salmal Pedesa, Mattegoda",6.8190183,79.9710195
1452,FC THALAWATHUGODA,"No. 205/S, Pannipitiya Road, Thalawathugoda",6.866174,79.8796
1453,FC SAMANTHURAI,"No. 32/2, Ampara Road,Viliniyady Junction,Sammanthurai.",6.033033,80.798802
1343,EX BELIATTA,"No. 52, Tangalle Road, Beliatta",6.0424456,80.7639441
1457,FC THISSAMAHARAMA,"No. 142, Hambantota Road, Thissamaharama",6.2770724,81.2892814
1339,EX MIDDENIYA,"Liyanage Building, Weeraketiya Road, Middeniya.",6.2273879,80.7677577
1454,FC MORATUWA OLD RD,"No. 151, Main street, Moratuwa",6.797208,79.900936
1335,EX GALGAMUWA,"No. 37, Anuradhapura Road, Galgamuwa",7.9956851,80.2706908
1338,EX MALWANA,"No.52/10/A Main Street, Malwana",6.9534168,80.0090131
